Gender,Age at time of application,Year of Application,A-levels scores,Education,University Name,Address,Current Employment,Current Employment Sector,Current Annual Income,References Submitted,Refree 1,Refree 2,Refree 3,Was Hired by a Company within 6 months
Trans,48,2006,48,Law,ANGLIA RUSKIN UNIVERSITY,Inverclyde,Self Business,Transportation,109628,1,Self Business:IT,Salaried:IT,Contractual:Law,0
Trans,41,2006,77,STEM,UNIVERSITY OF KEELE,Orkney Islands,None,None,0,1,Salaried:Transportation,Contractual:Arts,Contractual:Law,0
Female,41,2006,65,STEM,UNIVERSITY OF ULSTER,Nottinghamshire,Contractual,Law,51649,0,NA,NA,NA,0
Trans,43,2017,64,Business,UNIVERSITY OF CAMBRIDGE,Dumfries and Galloway,Salaried,IT,95872,1,Self Business:IT,Contractual:Health,Contractual:Accounting,0
Non-binary,41,2009,44,Arts,BISHOP GROSSETESTE UNIVERSITY,Northamptonshire,None,None,0,1,Self Business:Transportation,Salaried:Law,Contractual:Health,0
Female,48,2014,57,Business,UNIVERSITY OF WINCHESTER,Flintshire,None,None,0,0,NA,NA,NA,0
Female,46,2017,84,STEM,UNIVERSITY OF STIRLING,Essex,Self Business,Law,56772,1,Self Business:Engineering,Self Business:Engineering,Contractual:Law,1
Male,41,2010,74,STEM,UNIVERSITY COLLEGE BIRMINGHAM,Highland,None,None,0,1,Self Business:Accounting,Salaried:IT,Self Business:Law,0
Trans,47,2006,46,Business,NEWMAN UNIVERSITY,Aberdeen City,Contractual,IT,90705,1,Self Business:Law,Contractual:Engineering,Contractual:IT,0
Non-binary,49,2000,69,STEM,UNIVERSITY OF DERBY,Scottish Borders,None,None,0,1,Salaried:Law,Self Business:Arts,Self Business:Accounting,0
Female,46,2017,85,Law,"UNIVERSITY OF THE ARTS, LONDON",Cheshire,Salaried,Accounting,0,1,Salaried:Engineering,Self Business:Transportation,Contractual:Transportation,1
Trans,43,2009,46,STEM,UNIVERSITY OF BEDFORDSHIRE,Midlothian,Self Business,IT,83263,0,NA,NA,NA,0
Female,49,2001,57,STEM,COURTAULD INSTITUTE OF ART,Orkney Islands,Contractual,Health,112833,1,Salaried:Engineering,Salaried:Health,Self Business:Engineering,0
Non-binary,42,2007,65,STEM,LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE,Aberdeen City,Salaried,Accounting,62236,1,Contractual:Law,Contractual:Law,Contractual:Health,0
Non-binary,48,2021,46,Arts,UNIVERSITY OF LANCASTER,Tyrone,Contractual,Law,53183,1,Contractual:Engineering,Contractual:IT,Contractual:IT,0
Trans,40,1999,60,Law,UNIVERSITY OF WOLVERHAMPTON,East Sussex,Salaried,Transportation,65392,0,NA,NA,NA,0
Male,46,2008,68,Law,BRUNEL UNIVERSITY,Merseyside,Self Business,IT,88961,0,NA,NA,NA,0
Trans,49,2022,71,Arts,NORWICH UNIVERSITY OF THE ARTS,Greater Manchester,Salaried,Law,139137,1,Self Business:Health,Salaried:Transportation,Salaried:Transportation,0
Male,47,2007,73,Arts,UNIVERSITY OF WALES PRIFYSGOL CYMRU,Pembrokeshire,None,None,0,0,NA,NA,NA,0
Non-binary,40,2019,62,Law,ASTON UNIVERSITY,Worcestershire,Salaried,Arts,112004,1,Contractual:Arts,Salaried:IT,Salaried:Arts,0
Male,47,2002,83,Business,UNIVERSITY OF CENTRAL LANCASHIRE,Surrey,Salaried,Accounting,47159,1,Self Business:Health,Self Business:Law,Contractual:Engineering,1
Non-binary,42,2007,89,STEM,THE UNIVERSITY OF MANCHESTER,Hertfordshire,Salaried,Law,105179,1,Self Business:Engineering,Self Business:Accounting,Contractual:Transportation,1
Trans,42,2018,42,Business,NEWMAN UNIVERSITY,Buckinghamshire,Contractual,Engineering,117781,1,Contractual:Arts,Contractual:Health,Salaried:IT,0
Non-binary,44,2001,83,Business,UNIVERSITY OF THE HIGHLANDS AND ISLANDS,Surrey,Contractual,Transportation,141122,1,Self Business:IT,Self Business:Arts,Contractual:Arts,1
Non-binary,48,2009,57,Business,GUILDHALL SCHOOL OF MUSIC & DRAMA,Stirling,None,None,0,1,Contractual:Arts,Salaried:Transportation,Self Business:Transportation,0
Non-binary,41,2004,54,Law,KINGSTON UNIVERSITY,Perth and Kinross,Salaried,Transportation,127808,1,Contractual:Transportation,Self Business:Arts,Self Business:IT,0
Male,42,1999,54,Business,HERIOT-WATT UNIVERSITY,Monmouthshire,Self Business,Accounting,67135,1,Self Business:Accounting,Contractual:Law,Salaried:Health,0
Male,48,1999,63,Law,UNIVERSITY OF LONDON,West Sussex,Self Business,Health,133744,1,Self Business:Arts,Contractual:Law,Contractual:IT,0
Non-binary,49,2002,89,STEM,GLASGOW CALEDONIAN UNIVERSITY,Greater Manchester,Salaried,Accounting,60422,1,Salaried:Law,Self Business:Engineering,Contractual:Engineering,1
Non-binary,47,2006,47,Law,UNIVERSITY OF SOUTH WALES/PRIFYSGOL DE CYMRU,Cambridgeshire,Self Business,Accounting,130241,0,NA,NA,NA,0
Male,49,2003,83,Law,Universirt of Cambridge,Glamorgan,Salaried,Accounting,146700,1,Self Business:Engineering,Self Business:Engineering,Contractual:Transportation,1
Non-binary,47,2012,40,Arts,UNIVERSITY OF ABERDEEN,Shropshire,None,None,0,0,NA,NA,NA,0
Female,47,2022,53,Law,QUEEN MARY UNIVERSITY OF LONDON,Greater Manchester,Self Business,Accounting,117603,1,Self Business:IT,Salaried:Engineering,Salaried:Health,0
Male,42,2004,71,Business,UNIVERSITY OF EAST LONDON,Berkshire,Contractual,Health,51176,1,Self Business:Engineering,Self Business:Law,Contractual:Transportation,1
Male,44,2014,69,Arts,THE UNIVERSITY OF CUMBRIA,Dundee City,Contractual,Accounting,113416,1,Self Business:Law,Contractual:IT,Contractual:IT,0
Male,44,2015,81,STEM,UNIVERSITY OF DUNDEE,Inverclyde,Self Business,Health,0,1,Self Business:IT,Salaried:Accounting,Contractual:Engineering,1
Trans,48,2006,81,STEM,MIDDLESEX UNIVERSITY,Northamptonshire,Self Business,Engineering,78444,1,Self Business:Accounting,Self Business:Accounting,Contractual:IT,1
Male,41,2021,86,STEM, University of Oxford,Cumbria,Contractual,IT,45094,1,Self Business:Arts,Self Business:Transportation,Contractual:Law,1
Trans,45,2007,77,Business,"UNIVERSITY OF NORTHAMPTON,THE",Lancashire,Contractual,Transportation,47597,1,Salaried:IT,Salaried:Arts,Self Business:Accounting,1
Non-binary,43,2009,76,STEM,UNIVERSITY OF CAMBRIDGE,West Dunbartonshire,Salaried,Accounting,74836,1,Contractual:IT,Salaried:IT,Contractual:Accounting,0
Trans,42,2015,88,STEM,UNIVERSITY OF BOLTON,Montgomeryshire,Salaried,Law,50223,1,Salaried:Arts,Self Business:Transportation,Contractual:Law,1
Non-binary,40,2017,52,Law,THE UNIVERSITY OF CUMBRIA,Stirling,None,None,0,0,NA,NA,NA,0
Female,47,1998,89,Arts,UNIVERSITY OF WALES PRIFYSGOL CYMRU,Hertfordshire,Self Business,Accounting,0,1,Salaried:Arts,Salaried:Arts,Contractual:Accounting,1
Female,45,2006,40,STEM,OXFORD BROOKES UNIVERSITY,Dundee City,Self Business,IT,76823,0,NA,NA,NA,0
Trans,45,2015,62,Law,"ST. GEORGE'S, UNIVERSITY OF LONDON",Shetland Islands,None,None,0,0,NA,NA,NA,0
Non-binary,43,2018,74,STEM,UNIVERSITY OF LINCOLN,Hertfordshire,Self Business,Law,100142,0,NA,NA,NA,0
Male,44,2009,76,STEM,LEEDS METROPOLITAN UNIVERSITY,Cumbria,None,None,0,0,NA,NA,NA,0
Female,46,1999,53,STEM,IMPERIAL COLLEGE LONDON,Cardiganshire,Self Business,Arts,106338,1,Contractual:IT,Contractual:Arts,Contractual:Law,0
Female,43,2010,67,Law,CANTERBURY CHRIST CHURCH UNIVERSITY,Breconshire,Self Business,Accounting,88729,1,Salaried:Arts,Salaried:Health,Self Business:Transportation,0
Non-binary,42,2007,75,STEM,UNIVERSITY OF SUSSEX,Lincolnshire,None,None,73566,0,NA,NA,NA,0
Male,45,2010,83,STEM, University of Oxford,Merionethshire,Contractual,Health,81201,1,Self Business:IT,Self Business:Engineering,Contractual:Transportation,1
Non-binary,40,2000,87,STEM,IMPERIAL COLLEGE LONDON,Shetland Islands,Self Business,Transportation,0,1,Salaried:Law,Self Business:Arts,Contractual:Arts,1
Male,47,2017,51,Arts,UNIVERSITY OF KEELE,Essex,None,None,0,1,Contractual:Law,Salaried:Law,Self Business:Law,0
Non-binary,42,2007,65,STEM,STAFFORDSHIRE UNIVERSITY,East Renfrewshire,None,None,0,1,Salaried:Law,Salaried:Engineering,Salaried:Engineering,0
Female,46,2014,87,Business,Universirt of Cambridge,Radnorshire,Contractual,Law,138845,1,Salaried:Engineering,Self Business:Engineering,Contractual:Arts,1
Male,49,2010,53,STEM,UNIVERSITY OF EDINBURGH,Aberdeen City,Self Business,Transportation,145508,0,NA,NA,NA,0
Female,41,2018,51,Arts,THE UNIVERSITY OF BUCKINGHAM,Stirling,Salaried,Engineering,90637,0,NA,NA,NA,0
Trans,44,2019,81,Arts,UNIVERSITY OF STIRLING,Bedfordshire,Salaried,Transportation,85148,1,Self Business:Transportation,Self Business:Accounting,Contractual:Health,1
Non-binary,43,2002,78,Arts,UNIVERSITY OF LEICESTER,Somerset,None,None,0,0,NA,NA,NA,0
Non-binary,45,2012,82,STEM,YORK ST JOHN UNIVERSITY,Inverclyde,Self Business,Engineering,91828,1,Salaried:Arts,Self Business:Transportation,Contractual:Health,1
Trans,48,2019,77,Business,SCHOOL OF ORIENTAL AND AFRICAN STUDIES,Anglesey,Salaried,Health,67612,1,Self Business:Law,Self Business:Transportation,Self Business:Accounting,1
Male,42,2020,60,Law,LONDON BUSINESS SCHOOL,Staffordshire,Contractual,IT,60950,0,NA,NA,NA,0
Trans,43,2013,52,Law,UNIVERSITY OF GLOUCESTERSHIRE,Derbyshire,Salaried,Accounting,140178,1,Salaried:Engineering,Contractual:Arts,Contractual:IT,0
Male,45,2016,76,Arts,UNIVERSITY OF ESSEX,Fermanagh,None,None,0,0,NA,NA,NA,0
Non-binary,47,2008,57,Arts,ANGLIA RUSKIN UNIVERSITY,Merionethshire,Salaried,Accounting,130746,1,Self Business:Health,Contractual:Accounting,Contractual:Transportation,0
Female,41,1998,71,Law,BUCKINGHAMSHIRE NEW UNIVERSITY,Angus,None,None,0,0,NA,NA,NA,0
Trans,46,2019,65,Arts,SHEFFIELD HALLAM UNIVERSITY,Radnorshire,None,None,0,1,Salaried:Engineering,Salaried:Engineering,Salaried:Accounting,0
Trans,48,2005,57,Business,"UNIVERSITY OF WORCESTER, THE",South Yorkshire,Contractual,IT,42048,1,Contractual:Accounting,Contractual:IT,Contractual:Arts,0
Male,49,2015,60,Law,UNIVERSITY OF SUSSEX,Derbyshire,None,None,0,0,NA,NA,NA,0
Male,40,2022,61,Business,UNIVERSITY OF EAST LONDON,Suffolk,Salaried,Transportation,112682,0,NA,NA,NA,0
Male,42,2004,83,Law,UNIVERSITY OF DERBY,Buckinghamshire,Contractual,Arts,0,1,Salaried:Engineering,Self Business:Engineering,Contractual:Accounting,1
Non-binary,49,2007,64,Law,ROYAL CONSERVATOIRE OF SCOTLAND,Monmouthshire,None,None,0,0,NA,NA,NA,0
Male,42,2011,42,STEM,UNIVERSITY OF ST MARK & ST JOHN,Aberdeenshire,Self Business,Law,49512,0,NA,NA,NA,0
Non-binary,45,2009,43,Arts,SHEFFIELD HALLAM UNIVERSITY,Lancashire,Contractual,Transportation,96805,1,Contractual:Accounting,Contractual:Engineering,Self Business:Engineering,0
Male,45,2021,68,STEM,UNIVERSITY OF THE HIGHLANDS AND ISLANDS,Essex,None,None,0,1,Contractual:Arts,Self Business:Health,Salaried:Health,0
Female,41,2010,79,STEM,GLASGOW SCHOOL OF ART.,Worcestershire,Contractual,IT,41780,1,Salaried:Health,Salaried:Engineering,Salaried:Accounting,1
Trans,43,2002,89,Law,PRIFYSGOL ABERYSTWYTH,Hertfordshire,Salaried,Health,88685,1,Self Business:Health,Self Business:Health,Contractual:Health,1
Female,47,2017,69,STEM,LEEDS TRINITY UNIVERSITY,Lancashire,None,None,0,1,Contractual:Health,Contractual:Engineering,Self Business:Accounting,0
Trans,45,2002,88,Business,BATH SPA UNIVERSITY,Essex,Self Business,Law,149330,1,Salaried:Arts,Self Business:Health,Contractual:Accounting,1
Non-binary,43,2010,55,Law,LONDON SOUTH BANK UNIVERSITY,Surrey,Self Business,Health,138642,0,NA,NA,NA,0
Female,46,2006,64,Law,NORTHUMBRIA UNIVERSITY NEWCASTLE,Denbighshire,None,None,87923,1,Contractual:Transportation,Contractual:IT,Salaried:Accounting,0
Trans,45,2010,73,Arts,BANGOR UNIVERSITY,Orkney Islands,None,None,130504,0,NA,NA,NA,0
Male,40,2001,42,Law,UNIVERSITY OF THE WEST OF SCOTLAND,East Ayrshire,None,None,120597,0,NA,NA,NA,0
Female,46,2014,89,Law,UNIVERSITY OF LONDON,Hertfordshire,Contractual,Transportation,135346,1,Self Business:Accounting,Self Business:Engineering,Contractual:Arts,1
Trans,43,2022,67,Law,UNIVERSITY OF WARWICK,Nottinghamshire,Salaried,Engineering,45395,1,Contractual:Law,Salaried:IT,Salaried:Engineering,0
Non-binary,43,1998,85,Arts,University College London,Montgomeryshire,Contractual,Engineering,142566,1,Self Business:Transportation,Salaried:IT,Contractual:IT,1
Non-binary,46,1999,80,STEM,ROEHAMPTON UNIVERSITY,Down,None,None,0,1,Salaried:Law,Contractual:Transportation,Contractual:Transportation,0
Male,44,2009,88,STEM,IMPERIAL COLLEGE LONDON,North Lanarkshire,Contractual,Law,78077,1,Self Business:IT,Self Business:Law,Contractual:Engineering,1
Male,42,2013,86,Business,EDINBURGH NAPIER UNIVERSITY,Montgomeryshire,Salaried,IT,49583,1,Contractual:Engineering,Salaried:Transportation,Self Business:Arts,1
Trans,49,2017,48,Business,UNIVERSITY OF ULSTER,Pembrokeshire,Salaried,Accounting,111447,0,NA,NA,NA,0
Male,43,2019,80,Arts,NOTTINGHAM TRENT UNIVERSITY,Shetland Islands,Contractual,Accounting,133165,0,NA,NA,NA,0
Female,40,1998,63,Law,UNIVERSITY OF ST ANDREWS,Anglesey,None,None,0,0,NA,NA,NA,0
Female,48,2008,59,Business,BATH SPA UNIVERSITY,Fife,Self Business,Law,45336,0,NA,NA,NA,0
Male,48,2011,55,Business,UNIVERSITY OF ABERDEEN,Aberdeen City,None,None,0,0,NA,NA,NA,0
Trans,44,2019,59,STEM,KINGSTON UNIVERSITY,Buckinghamshire,Contractual,Engineering,78004,0,NA,NA,NA,0
Male,43,2019,50,Law,EDGE HILL UNIVERSITY,Inverclyde,Contractual,Accounting,53762,0,NA,NA,NA,0
Trans,43,2014,88,Law,ROYAL COLLEGE OF MUSIC,Greater London,Salaried,Accounting,0,1,Self Business:Accounting,Self Business:Engineering,Contractual:Transportation,1
Female,41,2010,43,Business,QUEEN MARY UNIVERSITY OF LONDON,Scottish Borders,None,None,142833,1,Salaried:Arts,Salaried:Arts,Salaried:IT,0
Non-binary,40,2010,75,Law,UNIVERSITY OF THE HIGHLANDS AND ISLANDS,Down,Salaried,Accounting,50213,1,Contractual:Transportation,Contractual:Law,Salaried:Arts,0
Non-binary,40,2009,70,Business,NEWMAN UNIVERSITY,Surrey,None,None,0,1,Contractual:Transportation,Self Business:Health,Contractual:Engineering,0
Trans,42,1999,79,Arts, University of Oxford,Essex,Self Business,Arts,133410,1,Salaried:Engineering,Self Business:Engineering,Contractual:Transportation,1
Male,44,2004,63,STEM,"ST MARY'S UNIVERSITY, TWICKENHAM",Breconshire,None,None,47247,1,Contractual:Transportation,Self Business:IT,Self Business:Transportation,0
Female,49,2019,80,Business,WRITTLE COLLEGE,Northamptonshire,Self Business,Arts,63507,0,NA,NA,NA,0
Trans,40,2015,74,Law,SWANSEA METROPOLITAN UNIVERSITY,West Yorkshire,None,None,0,1,Contractual:IT,Salaried:Arts,Self Business:Arts,0
Trans,45,2018,53,Business,UNIVERSITY OF BIRMINGHAM,Hampshire,Salaried,Arts,118581,0,NA,NA,NA,0
Female,43,2003,48,Law,THE CONSERVATOIRE FOR DANCE AND DRAMA,Aberdeen City,Contractual,Health,103571,1,Self Business:Engineering,Salaried:Arts,Salaried:Accounting,0
Non-binary,48,2019,40,Arts,BIRMINGHAM CITY UNIVERSITY,South Yorkshire,None,None,0,0,NA,NA,NA,0
Male,41,2012,40,Arts,EDGE HILL UNIVERSITY,Montgomeryshire,Self Business,Accounting,61560,1,Salaried:IT,Self Business:Health,Salaried:IT,0
Non-binary,47,2012,60,Law,UNIVERSITY OF GLASGOW,Hampshire,Contractual,Arts,115142,1,Contractual:Law,Self Business:Engineering,Self Business:Health,0
Non-binary,46,2016,67,STEM,SOUTHAMPTON SOLENT UNIVERSITY,Norfolk,Contractual,Accounting,127737,1,Salaried:Transportation,Contractual:Engineering,Contractual:Accounting,0
Male,45,2004,75,Business,UNIVERSITY OF WEST LONDON,North Yorkshire,Contractual,Accounting,48853,1,Self Business:Health,Salaried:Arts,Salaried:Engineering,1
Trans,41,2014,53,Law,BISHOP GROSSETESTE UNIVERSITY,Cleveland,None,None,112842,1,Self Business:Health,Self Business:Accounting,Self Business:Health,0
Female,45,2008,51,STEM,PLYMOUTH UNIVERSITY,Norfolk,Contractual,IT,40664,0,NA,NA,NA,0
Male,48,2007,73,STEM,CARDIFF UNIVERSITY,Denbighshire,None,None,41066,1,Salaried:Engineering,Contractual:Transportation,Contractual:Accounting,0
Female,46,2014,63,Arts,NORTHUMBRIA UNIVERSITY NEWCASTLE,Buckinghamshire,Salaried,Engineering,95446,0,NA,NA,NA,0
Male,46,2015,54,STEM,"UNIVERSITY OF WORCESTER, THE",West Yorkshire,Salaried,Transportation,146662,1,Salaried:Health,Salaried:Accounting,Contractual:Engineering,0
Female,45,2021,46,Law,NEWMAN UNIVERSITY,South Ayrshire,Salaried,Health,84728,1,Contractual:IT,Contractual:Law,Self Business:Health,0
Trans,49,1998,66,Law,STRANMILLIS UNIVERSITY COLLEGE,Leicestershire,None,None,0,1,Self Business:Arts,Contractual:IT,Self Business:Health,0
Trans,41,2004,71,Business,SCHOOL OF ORIENTAL AND AFRICAN STUDIES,Dundee City,Salaried,Transportation,69853,0,NA,NA,NA,0
Trans,43,2011,64,STEM,UNIVERSITY OF BRADFORD,Renfrewshire,Self Business,Arts,112771,1,Contractual:IT,Contractual:Health,Contractual:Health,0
Female,48,2015,67,Arts,UNIVERSITY OF WARWICK,Denbighshire,None,None,45410,0,NA,NA,NA,0
Male,43,1998,89,Law,University College London,North Lanarkshire,Contractual,Accounting,0,1,Self Business:Accounting,Salaried:Transportation,Contractual:IT,1
Trans,46,2004,58,STEM,STRANMILLIS UNIVERSITY COLLEGE,North Ayrshire,None,None,80969,0,NA,NA,NA,0
Male,46,1998,78,Arts,STAFFORDSHIRE UNIVERSITY,Greater Manchester,Self Business,IT,94909,0,NA,NA,NA,0
Trans,46,2003,64,Law,"ST MARY'S UNIVERSITY, TWICKENHAM",Greater London,Contractual,Arts,53533,0,NA,NA,NA,0
Non-binary,49,2007,48,STEM,UNIVERSITY OF CAMBRIDGE,Caernarvonshire,None,None,55600,0,NA,NA,NA,0
Non-binary,48,2022,56,Law,UNIVERSITY OF WEST LONDON,Denbighshire,Contractual,IT,49780,1,Self Business:Accounting,Self Business:Engineering,Salaried:Engineering,0
Trans,46,2007,49,Arts,MIDDLESEX UNIVERSITY,Somerset,Contractual,Engineering,140117,0,NA,NA,NA,0
Non-binary,42,2019,82,Law,THE UNIVERSITY OF MANCHESTER,Tyne and Wear,Salaried,IT,55273,1,Self Business:Engineering,Self Business:Health,Contractual:IT,1
Male,42,2018,67,STEM,KINGSTON UNIVERSITY,Glamorgan,Self Business,Engineering,134739,0,NA,NA,NA,0
Female,41,2010,78,STEM,University College London,Scottish Borders,Self Business,IT,109817,1,Self Business:Arts,Salaried:Accounting,Contractual:Law,1
Female,46,2004,55,Business,UNIVERSITY OF LIVERPOOL,North Lanarkshire,None,None,0,1,Self Business:Arts,Salaried:Accounting,Salaried:Arts,0
Female,43,2006,52,Arts,SWANSEA UNIVERSITY,East Renfrewshire,Salaried,Arts,86212,1,Self Business:IT,Contractual:Accounting,Contractual:Engineering,0
Male,44,2003,77,Law,Universirt of Cambridge,East Lothian,Self Business,Arts,0,1,Self Business:Law,Salaried:Arts,Contractual:Law,1
Non-binary,44,2022,79,Business,COURTAULD INSTITUTE OF ART,Hertfordshire,Self Business,Law,115203,1,Salaried:Accounting,Salaried:Engineering,Contractual:Law,1
Trans,42,2004,55,STEM,UNIVERSITY OF BOLTON,Dundee City,None,None,0,0,NA,NA,NA,0
Female,49,2012,85,Law,UNIVERSITY OF LEICESTER,Worcestershire,Contractual,Law,112532,1,Salaried:Arts,Self Business:Transportation,Contractual:Law,1
Non-binary,49,2000,63,Arts,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,Shropshire,Salaried,IT,134653,0,NA,NA,NA,0
Trans,43,2002,62,Arts,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,Norfolk,Self Business,Transportation,119772,1,Self Business:Engineering,Salaried:Health,Contractual:Transportation,0
Female,43,2004,71,Arts,HARPER ADAMS UNIVERSITY,Buckinghamshire,Salaried,Accounting,97582,1,Salaried:Health,Salaried:Engineering,Contractual:Accounting,1
Female,40,1999,86,STEM, University of Oxford,West Midlands,Salaried,Accounting,40637,1,Self Business:Transportation,Self Business:Law,Contractual:Engineering,1
Non-binary,46,2005,53,Arts,ASTON UNIVERSITY,Tyne and Wear,Self Business,Accounting,143444,0,NA,NA,NA,0
Female,49,1998,81,Arts,UNIVERSITY OF OXFORD,West Yorkshire,Contractual,Arts,56951,1,Self Business:Health,Salaried:Transportation,Contractual:Transportation,1
Trans,43,2002,78,Law,UNIVERSITY OF GLASGOW,South Ayrshire,Salaried,IT,141408,0,NA,NA,NA,0
Female,46,2019,44,STEM,HERIOT-WATT UNIVERSITY,West Lothian,Self Business,IT,70598,0,NA,NA,NA,0
Trans,46,2021,51,Law,UNIVERSITY OF LEICESTER,West Sussex,Self Business,Transportation,46790,0,NA,NA,NA,0
Male,49,2016,69,Law,HARPER ADAMS UNIVERSITY,Greater Manchester,None,None,0,1,Self Business:Transportation,Contractual:Law,Contractual:Accounting,0
Female,47,2011,44,Arts,UNIVERSITY OF LIVERPOOL,Moray,None,None,43608,0,NA,NA,NA,0
Female,40,2020,53,Business,LIVERPOOL JOHN MOORES UNIVERSITY,South Ayrshire,Salaried,Transportation,135379,0,NA,NA,NA,0
Female,47,1999,55,STEM,ROYAL COLLEGE OF MUSIC,Flintshire,Salaried,Law,70616,0,NA,NA,NA,0
Trans,40,1998,46,Law,THE UNIVERSITY OF CUMBRIA,Oxfordshire,Contractual,Accounting,98212,1,Self Business:Law,Contractual:Health,Contractual:IT,0
Non-binary,44,2002,42,Law,THE UNIVERSITY OF CUMBRIA,Armagh,None,None,120164,1,Salaried:Health,Self Business:Health,Salaried:Law,0
Trans,45,2006,80,STEM,UNIVERSITY OF HUDDERSFIELD,Greater London,None,None,0,1,Salaried:Health,Salaried:IT,Contractual:Accounting,0
Male,42,2011,68,Law,BOURNEMOUTH UNIVERSITY,Hampshire,Self Business,IT,60751,0,NA,NA,NA,0
Non-binary,46,2005,83,Law,"UNIVERSITY OF NOTTINGHAM, THE",Argyll and Bute,Contractual,IT,136118,1,Salaried:Engineering,Salaried:IT,Contractual:Health,1
Male,41,2006,86,STEM,UNIVERSITY OF LEICESTER,Hertfordshire,Salaried,Health,76687,1,Self Business:Health,Self Business:Accounting,Contractual:Engineering,1
Non-binary,40,1998,77,Law,LONDON METROPOLITAN UNIVERSITY,Warwickshire,Self Business,Arts,87964,1,Contractual:Transportation,Salaried:Engineering,Contractual:Accounting,0
Male,46,1999,75,STEM,SWANSEA METROPOLITAN UNIVERSITY,Buckinghamshire,Salaried,Transportation,66551,0,NA,NA,NA,0
Female,48,1998,44,Law,QUEEN'S UNIVERSITY OF BELFAST,Surrey,Contractual,IT,108960,0,NA,NA,NA,0
Non-binary,47,2014,55,STEM,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,Fermanagh,Self Business,IT,83356,0,NA,NA,NA,0
Female,45,2022,67,Arts,LIVERPOOL JOHN MOORES UNIVERSITY,Essex,None,None,0,0,NA,NA,NA,0
Female,47,2008,68,Arts,BATH SPA UNIVERSITY,Norfolk,None,None,0,0,NA,NA,NA,0
Non-binary,40,2019,42,Business,UNIVERSITY OF LANCASTER,Anglesey,None,None,0,1,Contractual:Engineering,Contractual:Health,Salaried:Transportation,0
Trans,41,2005,53,Law,UNIVERSITY OF SUNDERLAND,Inverclyde,Contractual,IT,101279,1,Salaried:Accounting,Salaried:Law,Contractual:Arts,0
Trans,41,2020,80,STEM,UNIVERSITY OF SURREY,East Sussex,None,None,67251,1,Contractual:Law,Self Business:Accounting,Contractual:IT,0
Female,40,2019,82,Business,UNIVERSITY OF LIVERPOOL,Surrey,Self Business,Arts,78647,1,Self Business:IT,Salaried:IT,Contractual:Arts,1
Female,43,2008,63,Law,GUILDHALL SCHOOL OF MUSIC & DRAMA,Cornwall,Salaried,Arts,112126,1,Contractual:Transportation,Contractual:Law,Self Business:Engineering,0
Female,40,2018,43,Law,UNIVERSITY OF WOLVERHAMPTON,Shropshire,None,None,0,0,NA,NA,NA,0
Trans,46,2008,82,Law,BOURNEMOUTH UNIVERSITY,Fermanagh,Self Business,Health,120995,1,Salaried:Law,Salaried:Law,Contractual:Transportation,1
Female,43,1998,76,Law,OPEN UNIVERSITY(THE),Tyrone,Contractual,Accounting,40794,0,NA,NA,NA,0
Trans,48,2015,43,Law,UNIVERSITY OF WALES: TRINITY SAINT DAVID,East Renfrewshire,None,None,0,0,NA,NA,NA,0
Non-binary,47,1998,75,Arts,UNIVERSITY OF ESSEX,Dumfries and Galloway,None,None,115164,1,Self Business:Engineering,Salaried:Engineering,Self Business:Accounting,0
Trans,44,2010,51,Law,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,Hertfordshire,None,None,52607,1,Contractual:Engineering,Contractual:IT,Contractual:Law,0
Female,49,2015,68,Law,LEEDS METROPOLITAN UNIVERSITY,Renfrewshire,None,None,0,0,NA,NA,NA,0
Trans,42,2021,77,Arts,UNIVERSITY CAMPUS SUFFOLK LTD,Aberdeenshire,Contractual,IT,107897,0,NA,NA,NA,0
Male,43,2011,51,Arts,BIRMINGHAM CITY UNIVERSITY,Inverclyde,Contractual,Arts,100777,0,NA,NA,NA,0
Male,40,2008,49,Arts,OXFORD BROOKES UNIVERSITY,Breconshire,None,None,0,0,NA,NA,NA,0
Non-binary,42,2020,59,Arts,CARDIFF UNIVERSITY,City of Edinburgh,Contractual,IT,64068,1,Self Business:Engineering,Contractual:Health,Self Business:Law,0
Female,41,2017,74,Law,UNIVERSITY OF BRADFORD,Aberdeen City,Contractual,Accounting,147701,0,NA,NA,NA,0
Non-binary,41,2019,50,STEM,UNIVERSITY OF BIRMINGHAM,South Yorkshire,Salaried,Engineering,137002,0,NA,NA,NA,0
Trans,46,2015,51,STEM,UNIVERSITY OF SOUTHAMPTON,Eilean Siar,None,None,0,0,NA,NA,NA,0
Female,48,2021,71,STEM,UNIVERSITY OF BATH (THE),Buckinghamshire,Self Business,Engineering,0,1,Salaried:IT,Salaried:Accounting,Contractual:Law,1
Non-binary,49,2004,65,Business,THE UNIVERSITY OF BUCKINGHAM,South Yorkshire,Salaried,Accounting,70319,1,Salaried:Law,Self Business:Law,Self Business:Arts,0
Female,47,2016,59,Business,NORWICH UNIVERSITY OF THE ARTS,Suffolk,Salaried,Law,66669,0,NA,NA,NA,0
